aapl	320193
msft	789019
googl	1652044
amzn	1018724
tsla	1318605
brk-b	1067983
nvda	1045810
fb	1326801
tsm	1046179
unh	731766
jnj	200406
jpm	19617
spy	884394
wmt	104169
pg	80424
xom	34088
hd	354950
bac	70858
ma	1141391
lvmuy	824046
cvx	93410
baba	1577552
pfe	78003
ko	21344
abbv	1551152
dis	1744489
lly	59478
avgo	1730168
asml	937966
csco	858877
nvo	353278
tm	1094517
cost	909832
vz	732712
pep	77476
tmo	97745
cmcsa	1166691
abt	1800
adbe	796343
nke	320187
orcl	1341439
crm	1108524
acn	1467373
mrk	310158
intc	50863
dhr	313616
wfc	72971
nvs	1114448
bhp	811809
ups	1090727
qcom	804328
azn	901832
mcd	63908
t	732717
unp	100885
ptr	1108329
nflx	1065280
nee	753308
txn	97476
pm	1413329
ms	895421
ry	1000275
tmus	1283699
bmy	14272
low	60667
schw	316709
rtx	101829
mdt	1613103
lin	1707925
rtntf	887028
td	947263
cvs	64803
axp	4962
qqq	1067839
rio	863064
cop	1163165
intu	896878
amgn	318154
amd	2488
hon	773840
tte	879764
hsbc	1089113
lmt	936468
sap	1000184
sony	313838
sny	1121404
de	315189
pypl	1633917
ul	217410
antm	1156039
ibm	51143
pld	1045609
c	831001
amat	6951
eqnr	1140625
gs	886982
now	1373715
deo	835403
amt	1053507
isrg	1035267
tgt	27419
blk	1364742
ba	12927
hdb	1144967
cat	18230
jd	1549802
el	1001250
lfc	1268896
gsk	1131399
syk	310764
chtr	1091667
mo	764180
spgi	64040
ge	40545
vale	917851
bud	1668717
infy	1067491
bti	1303523
pbr	1119639
zts	1555280
bp	313807
mu	723125
enb	895728
abnb	1559720
cni	16868
mdlz	1103982
bns	9631
cb	896159
adp	8670
cme	1156375
bx	1393818
mmm	66740
bam	1001085
eadsy	1378580
csx	277948
hca	860730
adi	6281
usb	36104
bkng	1075531
duk	1326160
glncy	1524684
snp	1123658
ci	1739940
mufg	67088
mmc	62709
tfc	92230
bdx	10795
pnc	713676
gild	882095
cci	1051470
ice	1571949
shop	1594805
tjx	109198
bmo	927971
lrcx	707549
sftby	1065521
noc	1133421
fcx	831259
cp	16875
so	92122
idexy	1438656
cta-pa	30554
eog	821189
nsc	702165
cnq	1017413
ew	1099800
pbcry	1463157
gd	40533
shw	89800
team	1650372
f	37996
dmlry	1067318
d	715957
regn	872589
itw	49826
psa	1393311
wm	823768
cl	21665
eqix	1101239
aon	315293
fisv	798354
snow	1640147
atvi	718877
enlay	1096200
abb	1091587
pgr	80661
bsx	885725
gm	1467858
ibn	1103838
vrtx	875320
mco	1059556
wday	1327811
etn	1551182
amx	1129137
nem	1164727
scco	1001838
pxd	1038357
ntes	1110646
uber	1543151
relx	929869
fdx	1048911
cof	927628
hum	49071
cm	1045520
atlcy	748954
epd	1061219
rbgly	1420798
mrna	1682852
trp	1232384
kdp	1418135
fis	1136893
panw	1327567
ftnt	1262039
ubs	1610520
slb	87347
emr	32604
se	1703399
ntr	1725964
met	1099219
ngg	1004315
mrvl	1835632
meli	1099590
snap	1564408
oxy	797468
lhx	202058
chgcy	1453934
prndy	899108
bidu	1329099
mar	1048286
tri	1075124
pdd	1737806
e	1002242
bce	718940
ilmn	1110803
san	891478
apd	2969
klac	319201
cnc	1071739
njdcy	1158967
vmw	1124610
race	1648416
